SI Reference,param,description,low,baseline treatment,high,renewable,fuel_neutral,fossil_commodity
§1.2,"afeall(""UnSkLab"",""Oil"",REG)",oil commodity unskilled labor efficiency gain,2,5,10,FALSE,FALSE,TRUE
§1.2,"afeall(""UnSkLab"",""Coal"",REG)",coal commodity unskilled labor efficiency gain,2,5,10,FALSE,FALSE,TRUE
§1.2,"afeall(""UnSkLab"",""Gas"",REG)",gas commodity unskilled labor efficiency gain,2,5,10,FALSE,FALSE,TRUE
§3.2,"afeall(""UnSkLab"",""OilBL"",REG)",oil baseload unskilled labor efficiency gain,2,5,10,FALSE,FALSE,FALSE
§3.2,"afeall(""UnSkLab"",""GasBL"",REG)",gas baseload unskilled labor efficiency gain,2,5,10,FALSE,FALSE,FALSE
§3.2,"afeall(""UnSkLab"",""OilP"",REG)",oil peak unskilled labor efficiency gain,2,5,10,FALSE,FALSE,FALSE
§3.2,"afeall(""UnSkLab"",""GasP"",REG)",gas peak unskilled labor efficiency gain,2,5,10,FALSE,FALSE,FALSE
§3.2,"afeall(""UnSkLab"",""CoalBL"",REG)",coal baseload unskilled labor efficiency gain,2,5,10,FALSE,FALSE,FALSE
§2.3,"afeall(""UnSkLab"",""Oil_pcts"",REG)",Labor-augmenting (AI-driven automation → fewer workers per output),2,5,10,FALSE,FALSE,TRUE
§2.3,"afeall(""SkLab"",""Oil_pcts"",REG)",Labor-augmenting (AI-driven automation → fewer workers per output),2,5,10,FALSE,FALSE,TRUE
§1.2,"afeall(""SkLab"",""Oil"",REG)",oil commodity skilled labor efficiency gain,2,5,10,FALSE,FALSE,TRUE
§1.2,"afeall(""SkLab"",""Gas"",REG)",gas commodity skilled labor efficiency gain,2,5,10,FALSE,FALSE,TRUE
§1.2,"afeall(""SkLab"",""Coal"",REG)",coal commodity skilled labor efficiency gain,2,5,10,FALSE,FALSE,TRUE
§1.2,"afeall(""SkLab"",""OilBL"",REG)",oil baseload skilled labor efficiency gain,2,5,10,FALSE,FALSE,FALSE
§3.2,"afeall(""SkLab"",""OilP"",REG)",oil peak skilled labor efficiency gain,2,5,10,FALSE,FALSE,FALSE
§3.2,"afeall(""SkLab"",""GasBL"",REG)",gas baseload skilled labor efficiency gain,2,5,10,FALSE,FALSE,FALSE
§3.2,"afeall(""SkLab"",""GasP"",REG)",gas peak skilled labor efficiency gain,2,5,10,FALSE,FALSE,FALSE
§3.2,"afeall(""SkLab"",""CoalBL"",REG)",coal baseload skilled labor efficiency gain,2,5,10,FALSE,FALSE,FALSE
§2.1,"afall(""OilBL"",""Oil_pcts"",REG) ",Energy-augmenting technical change (reduces energy input required per unit output),4,9,15,FALSE,FALSE,TRUE
§2.1,"afall(""OilP"",""Oil_pcts"",REG) ",Energy-augmenting technical change (reduces energy input required per unit output),4,9,15,FALSE,FALSE,TRUE
§2.1,"afall(""GasBL"",""Oil_pcts"",REG) ",Energy-augmenting technical change (reduces energy input required per unit output),4,9,15,FALSE,FALSE,TRUE
§2.1,"afall(""GasP"",""Oil_pcts"",REG) ",Energy-augmenting technical change (reduces energy input required per unit output),4,9,15,FALSE,FALSE,TRUE
§2.1,"afall(""CoalBL"",""Oil_pcts"",REG) ",Energy-augmenting technical change (reduces energy input required per unit output),4,9,15,FALSE,FALSE,TRUE
§2.1,"afall(""NuclearBL"",""Oil_pcts"",REG) ",Energy-augmenting technical change (reduces energy input required per unit output),4,9,15,FALSE,FALSE,TRUE
